id,collectible,slug,classId,multiClassIds,cardTypeId,cardSetId,rarityId,artistName,manaCost,name,text,image,imageGold,flavorText,cropImage,duels,minionTypeId,health,attack,keywordIds,childIds,durability,armor
61127,1,61127-felscream-blast,14,[],5,1466,1,K. Lashley & K. Turovec,1,Felscream Blast,<b>Lifesteal</b>. Deal 1 damage to a minion and its neighbors.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7a73e2ee3bbff1f040e66c9ed23b6fb0ee96fa8a77925a78819d0d68701d6a90.png,,All the souls start running when they see the felscream truck.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2d05d26b0193d4ff9f8f91b20d97cb531a9db40eba9e5e31de7d7e863d1576ad.png,"{'relevant': True, 'constructed': True}",,,,[38],,,
61939,1,61939-illidari-studies,14,[],5,1466,1,MAR Studio,1,Illidari Studies,<b>Discover</b> an <b>Outcast</b> card. Your next one costs (1) less.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8d65f6f04c8117fbe52bbfee4aea902437e070bb7a253a11436b91d5851c75ea.png,,"""Don't read texts and drive.""",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/601546a0b0d0dfc2053aec5b160c7e9de548b59fb7d66ade527699e477c21180.png,"{'relevant': True, 'constructed': True}",,,,"[21, 86]",,,
61131,1,61131-throw-glaive,14,[],5,1466,3,Matt O'Connor,1,Throw Glaive,"Deal 2 damage to a minion. If it dies, add a&nbsp;temporary copy of this to your hand.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e5ac69ec72b6ea49f678c748b11b289ba3215b60abc0b63bf1b31f58ab621398.png,,"""No, no, I said SHOW me the glaive!""",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/06d3951bec4ec6423cf5a170562d283214df802fff9ae003c31e7d5ebc36d500.png,"{'relevant': True, 'constructed': True}",,,,,,,
56791,1,56791-chaos-strike,14,[],5,2,2,Zoltan Boros,2,Chaos Strike,Give your hero +2&nbsp;Attack this turn. Draw a card.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f6999f1270d9cd1c3410115d46464ccf0a791e037809caa8bfd271bb9773d700.png,,"""What do we want?"" ""CHAOS!"" ""When do we want it?"" ""WHEN LEAST EXPECTED!""",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a3174d0af59eff27e82a51ba9ed0ba04e4f7f0f6975b52ad4aacf319b12305b0.png,"{'relevant': True, 'constructed': True}",,,,,,,
56973,1,56973-sightless-watcher,14,[],4,2,2,Jaemin Kim,2,Sightless Watcher,<b>Battlecry:</b> Look at 3 cards in your deck. Choose one to put on top.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e9e2c62cf7fca9d50caa9bb26b8557813b082e3d311d61e9f319ddc43cdf1e50.png,,"What he lacks in sight, he makes up for in sleight-of-tentacle tricks.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/29aca497f6e4c09bcd7af8f29e439aa57b48f7dbdee66345e4e16cbfb06585f7.png,"{'relevant': True, 'constructed': True}",15.0,2.0,3.0,[8],,,
58495,1,58495-furious-felfin,14,[],4,1414,3,Matt Dixon,2,Furious Felfin,"<b>Battlecry:</b> If your hero attacked this turn, gain +1 Attack and <b>Rush</b>.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/996dddc9fbcb45a56e3e83445fd3ab542042ca79dbf2817485deebee77e8a05b.png,,"Signature moves include Eye Bream, Feast of Soles, and Metamorphofish.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8010443b56b7418c25de81c971e76e43f1e6d2db92e9fa149c1c1de11a270e64.png,,14.0,2.0,3.0,"[8, 53]",,,
59869,1,59869-immolation-aura,14,[],5,1414,1,L. Lullabi & K. Turovec,2,Immolation Aura,Deal 1 damage to all minions twice.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/70133d8f06f3c9aa99b730a32a35d5c2ea577d78c11e5eed74bca01f0995ed8c.png,,"If you can't take the heat, stop standing in the fire.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3b05c78aeb6c79710320eca36552fdba052b31c4ceec7dc99cbe61425e73294f.png,,,,,,,,
56985,1,56985-netherwalker,14,[],4,1414,1,Arthur Bozonnet,2,Netherwalker,<b>Battlecry:</b> <b>Discover</b> a Demon.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/fd8f4b2b2afba3fa22a741ccc0de10ccb9310cf18306698562bb83e2b11ba65e.png,,You got to Nethercrawl before you can Netherwalk.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/58b4687f90f0711da3449483f782e22fc8016489cc7c211e2709fa9bf3e83f31.png,,,2.0,2.0,"[8, 21]",,,
58453,1,58453-spectral-sight,14,[],5,1414,1,Jakub Kasper,2,Spectral Sight,Draw a card. <b>Outcast:</b> Draw another.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ec823c4d39295a102623d368bb933318d361f4528ee337b8d5886e256369f71c.png,,"""Pick a card, any card! Preferably the left- or right-most card.""",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/99719966258409c48575004d3200b5b33202f80167bf34ba92dae56687c796b6.png,,,,,[86],,,
56873,1,56873-feast-of-souls,14,[],5,1463,3,Anton Zemskov,2,Feast of Souls,Draw a card for each friendly minion that died this turn.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cc86cc150f3fe200dc56e769dd02ccde4eea93447abf90b5b55a45d55931f53d.png,,Nothing fills you up like soul food!,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cbfd1bbba5dcca5d5deb19f98b7eff09afde75cca5a7a276f49eb356850c9c9b.png,"{'relevant': True, 'constructed': True}",,,,,,,
56587,1,56587-umberwing,14,[],7,1463,1,Kagi,2,Umberwing,<b>Battlecry:</b> Summon two 1/1 Felwings.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/45987cba42b3f142ecf7c75b314f661a0e250de3ec370856a31b1451ef4c2395.png,,"Demon Hunters refer to these glaives as ""the ol’ flappy-attackys.""",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d4e0779c31c98f3162e2d352f7f21f34308e1f5af3fcb15a8d659f75e3e110f8.png,"{'relevant': True, 'constructed': True}",,,1.0,[8],[56592],2.0,
61128,1,61128-redeemed-pariah,14,[],4,1466,1,Zoltan Boros,2,Redeemed Pariah,"After you play an <b>Outcast</b> card, gain +1/+1.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/62f14647b3334ffd99c743ad642218a99e3f8db0a2cea4e9d75c5e6aa85b13d9.png,,"""Look at this stick. Look at it!""",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a7fd8098ce02af68c7e94c2e9df97b36abfa5ce738ed7fdde2e86322b6dfcf00.png,"{'relevant': True, 'constructed': True}",,3.0,2.0,[86],,,
56583,1,56583-aldrachi-warblades,14,[],7,2,2,J. Axer,3,Aldrachi Warblades,<b>Lifesteal</b>,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e6e3b156c39ee6417b69c8766b26ff1a294e46afc699ab58e7d9b53341ea40dd.png,,The ancient Aldrachi were the greatest warriors in the universe. Imagine their power if they'd put the handle at the END of the blade.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d7f1196c89e05eb6b60b079491a9874d16717b4fd2a15b97f1bb96288628d72c.png,"{'relevant': True, 'constructed': True}",,,2.0,[38],,2.0,
56792,1,56792-coordinated-strike,14,[],5,2,2,L. Lullabi & K. Turovec,3,Coordinated Strike,Summon three 1/1&nbsp;Illidari with <b>Rush</b>.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/fae7b7c05026146e7e8c54245dba539865c99f11ae6328c96cdb99e9eb8cd2c6.png,,"Undisputed champions of ""Dancing with the Satyrs.""",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f839df1d02954e871e415f2292f1a83e3f95ef705579658e5ec557b682813058.png,"{'relevant': True, 'constructed': True}",,,,[53],[56927],,
58489,1,58489-satyr-overseer,14,[],4,2,2,Zoltan Boros,3,Satyr Overseer,"After your hero attacks, summon a 2/2 Satyr.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/df46271708099b70f41f9913886b56bbe147f89812b7fe53586e7e4be150860c.png,,"What he lacks in communication skills, he makes up for with highly responsive staffing allocations.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/89daef90865dbc4a801a85cc21423a0dd2e22b284f854681905553417c6cef5c.png,"{'relevant': True, 'constructed': True}",15.0,2.0,4.0,,[58496],,
57732,1,57732-soul-cleave,14,[],5,2,2,Zoltan Boros,3,Soul Cleave,<b>Lifesteal</b> Deal 2 damage to two random enemy minions.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/72aeb5cdc5ea51cf2b09db8953ee44c46b01ae69fd7896e5ebe492d91c7aa119.png,,The way to a demon's soul is through its stomach.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3cdc02de33187e9406948e9c94fdcb8766c68a864b9044586f19d5a03849bd1f.png,"{'relevant': True, 'constructed': True}",,,,[38],,,
60003,1,60003-ace-hunter-kreen,14,"[14, 3]",4,1443,5,James Ryman,3,Ace Hunter Kreen,Your other characters are <b>Immune</b> while attacking.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7a999f006eb614a448f1879b37d9015577b178d0bc02f1eed11fd27e211db441.png,,This grandmaster marksman loves winning tournaments and eating a bit of ice cream.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7e3d10913c2c95ac813aa30f68d18317503d306f941ef3cdcd76a7ee0cbdb094.png,"{'relevant': True, 'constructed': True}",,4.0,2.0,[17],,,
59230,1,59230-magehunter,14,[],4,1443,3,Dave Allsop,3,Magehunter,"<b>Rush</b> Whenever this attacks a minion, <b>Silence</b> it.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/302c2721296554747997320a337d13ee1adc734921500a81113f0a5fc4ac48c3.png,,Hates waiting. Abhors chit chat. Fond of the color purple.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2db5b294cbc5dd76155a111febc1f4c5f8d4dbe9b9ee906c16b33632605ad8e3.png,"{'relevant': True, 'constructed': True}",,3.0,2.0,"[15, 53]",,,
58492,1,58492-blade-dance,14,[],5,1463,3,Zoltan Boros,3,Blade Dance,Deal damage equal to your hero's Attack to 3 random enemy minions.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/bc3e806c9719327485bf903f499d2d0524ce7b95d867edaa6a38eaa36cca5e0d.png,,The surest way to clear the dance floor.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4ae66e1586d38f180b7521d0f16312478c1aedb5ea3dd73c16c3cd8abe6eaeaf.png,"{'relevant': True, 'constructed': True}",,,,,,,
58183,1,58183-eye-beam,14,[],5,1463,4,Arthur Gimaldinov,3,Eye Beam,<b>Lifesteal</b>. Deal 3 damage to a minion. <b>Outcast:</b> This costs (1).,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d9a429364538b09cfc12c5917d100fd51b2c3e14208e3f7aa712a5c72927c177.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/600ad59b67bc0bfb52c89e37ffb73ed790f2aac6bbdee9bc11efe8c4108d0723.png,Sometimes looks CAN kill.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/69454a91cb3b5055131a93fe7a9d79d5d66ca0fdbf1e6fff1be11355ec5b9dd6.png,"{'relevant': True, 'constructed': True}",,,,"[38, 86]",,,
59710,1,59710-wrathscale-naga,14,[],4,1463,4,Ware Lee,3,Wrathscale Naga,"After a friendly minion dies, deal 3 damage to a&nbsp;random enemy.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7122f6ec3228de5d963f3e7736833382d632a7db51a19ef1d6ea78fe8afc9c1d.png,,If throwing glaives is what you crave; summon tokens and make 'em broken.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/dd2ce30b235eac9fe09b1ca642d2cc5d434350a25e9b52c9e812ce312d745821.png,"{'relevant': True, 'constructed': True}",,1.0,3.0,,,,
61273,1,61273-acrobatics,14,[],5,1466,1,James Ryman,3,Acrobatics,"Draw 2 cards. If you play both this turn, draw 2 more.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d25fc9e33605061d84ae3281e55e646494a5f3eb48be7c4f10ab3886c9d28350.png,,He soars through the air with the greatest of fleas.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/69f4a3c44e797c10712140a34942b52cbb70246ce7f8d39e59f1481f409bd025.png,"{'relevant': True, 'constructed': True}",,,,,,,
61133,1,61133-dreadlords-bite,14,[],7,1466,1,Brandon Blackwell,3,Dreadlord's Bite,<b>Outcast:</b> Deal 1 damage to all enemies.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e17b108ef64096fe22abcb7c7530526b4b1ac3c0a644b728912088dce9e1c0dd.png,,"When it gets too dull, it's more of a nibble.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/43f6df4d28d106a23898043a2bcf5bbf8b5eaaa1b237bdec33a3962c386c3108.png,"{'relevant': True, 'constructed': True}",,,2.0,[86],,2.0,
61271,1,61271-felsteel-executioner,14,[],4,1466,4,Jakub Kasper,3,Felsteel Executioner,<b>Corrupt:</b> Become a weapon.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/03ed786199298ac4077f9b5d0d45b0820fb72b23138574aa1cc9daaf941d2be6.png,,"""My mom said I could be anything I want.""",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6e1c6344d98ff75449bd5c9bbcfa3e3b272b45d0c44020a2e71f81bd33fd6882.png,"{'relevant': True, 'constructed': True}",18.0,3.0,4.0,[91],[61272],,
61269,1,61269-insatiable-felhound,14,[],4,1466,1,Zoltan Boros,3,Insatiable Felhound,<b>Taunt</b> <b>Corrupt:</b> Gain +1/+1 and&nbsp;<b>Lifesteal</b>.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/30c8130fca6667316a1fe5ccdc88881ac188dacb02118789aae309e17f5e46df.png,,Back-to-back winner of the annual hot dog eating contest... and the judge-eating contest.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ae6850594dbf310a393ee79ba9e0eda800de858b71b6c654762f40261b90beec.png,"{'relevant': True, 'constructed': True}",15.0,5.0,2.0,"[1, 38, 91]",[61270],,
61123,1,61123-line-hopper,14,[],4,1466,1,K. Lashley & K. Turovec,3,Line Hopper,Your <b>Outcast</b> cards cost (1)&nbsp;less.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7429e8ff0ad06c53dd701fd3fb6465968cc00f61457350feaf4817ad7392c3ab.png,,"There are two things Demon Hunters know: hopping, and cutting.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b06d2c25b7128e899cac89dadef83038794c43993e2402b008546b9277b788bc.png,"{'relevant': True, 'constructed': True}",,4.0,3.0,[86],,,
61125,1,61125-relentless-pursuit,14,[],5,1466,1,Slawomir Maniak,3,Relentless Pursuit,Give your hero +4 Attack and <b>Immune</b> this turn.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e5af40d6f889dd20ab122501d9c2b089eb9a7c02773c1fc69eb845acea9ec794.png,,"If you steal a Demon Hunter's corn dog, you'll get what's coming.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3d0fb7f79b81f894697d1e5e7ab415718ddd62766f8373472c275150e2f408c8.png,"{'relevant': True, 'constructed': True}",,,,[17],,,
61135,1,61135-stiltstepper,14,[],4,1466,4,Arthur Gimaldinov,3,Stiltstepper,"<b>Battlecry:</b> Draw a card. If you play it this turn, give your hero +4 Attack this turn.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7f72b78543f31940fdc619ec4fc49f73aba866b731f5de43e6cb80b16c62de6e.png,,"Circus school was tough, sometimes you had to step on people to make it to the top.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6654b7b98a61867c7e9380c3c63afd4e815fb74ed57ef30a01e276a52352ceb7.png,"{'relevant': True, 'constructed': True}",,1.0,4.0,[8],,,
56860,1,56860-ashtongue-battlelord,14,[],4,1414,1,Ivan Fomin,4,Ashtongue Battlelord,<b>Taunt</b> <b>Lifesteal</b>,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6be2617211c48718f1ef46586dc1a854018f79ffe22a210389cccf4b8d78d465.png,,Demons have destroyed the lives of the Ashtongue draenei. Now he’s got a shoulder-axe to grind.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/94d995550b4bf931e56502c47588f1830f88fe5107fc1b485d043a9282177a0a.png,,,5.0,3.0,"[1, 38]",,,
58202,1,58202-kayn-sunfury,14,[],4,1414,5,Wayne Reynolds,4,Kayn Sunfury,<b>Charge</b> All friendly attacks ignore&nbsp;<b>Taunt</b>.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/46e9c7e6f09432ef8715cb8200360ebbf6aba40c0f0fa86c18f3b2fcf7dd6bfb.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/61bdc6d326dd079fc50120c3c9725ef985b25980e6de3fe8ab6063b0a3886b74.png,"""Armor and heals may slow my zeal, but fel and glaives excite me!""",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/374e357d4edbc2296a3496435a05f1a099dd10027a5ec24d9ffb7c484c1607fd.png,,,4.0,3.0,"[1, 4]",,,
60153,1,60153-glide,14,[],5,1443,3,Slawomir Maniak,4,Glide,Shuffle your hand into your deck. Draw 4 cards. <b>Outcast:</b> Your opponent does the same.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/74a4671b7c8e068a5d32a493d206b709654f948920cc85c45bfb3e452d5b1c7d.png,,"""Come with me, and you'll see, a whole new hand of possibly the same cards.""",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a44cbd957e7c899fc88a0da86a534c5c4a953a2163f9bb2b495887d7844099ce.png,"{'relevant': True, 'constructed': True}",,,,[86],,,
59089,1,59089-marrowslicer,14,[],7,1443,1,Akkapoj T.,4,Marrowslicer,<b>Battlecry:</b> Shuffle 2 Soul Fragments into your deck.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a6c120fdd6dac9ea93d564256eab2acdca21145b407e5544d7357e6d6fca3160.png,,Perfect for killing the first boss in Icecrown Citadel.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/096dc6f9ccfb96be277870dbb1acb70b6c0688740b57a479b7b075e2680c70a6.png,"{'relevant': True, 'constructed': True}",,,4.0,[8],[59723],2.0,
60151,1,60151-shardshatter-mystic,14,[],4,1443,3,Vladimir Kafanov,4,Shardshatter Mystic,<b>Battlecry:</b> Destroy a Soul Fragment in your deck to deal 3 damage to all other minions.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/dad635c7cbfd39b83b81f1045b217417d2aa04ef1e4786a4500196bcee33b318.png,,Enjoys a good soul-crushing defeat.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1f1d675e721a18db95f55292c3347f4f938ebdb6f1ecd4cf6ab3f8f52b4578ec.png,"{'relevant': True, 'constructed': True}",,2.0,3.0,[8],[59723],,
59395,1,59395-star-student-stelina,14,[],4,1443,5,Anton Zemskov,4,Star Student Stelina,<b>Outcast:</b> Look at 3 cards in your opponent's hand. Shuffle one of them into their deck.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4d8dc3ff675f3c40646fcc16ef782be46e8e4fc0ed9d384374dd4789f212c0b1.png,,Cheating is just using your resources wisely.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f39f775432b1d267778ef363db236da672e68db06be853afaee088bea1dd4085.png,"{'relevant': True, 'constructed': True}",,3.0,4.0,[86],,,
59753,1,59753-vilefiend-trainer,14,[],4,1443,1,J. Axer,4,Vilefiend Trainer,<b>Outcast:</b> Summon two 1/1&nbsp;Demons.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1774cb259cfd18884de958ee6f8acff20383ccfb2778824eae4067bd10cc60df.png,,My Vilefiend Trainers give me a much better sprint than my Air Gul'dans.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0a91f832537cb1c793ee5fa99818c60b8333f0a2f1f377994b35edb2bf26d464.png,"{'relevant': True, 'constructed': True}",,4.0,5.0,[86],[59754],,
56652,1,56652-altruis-the-outcast,14,[],4,1463,5,Jerry Mascho,4,Altruis the Outcast,"After you play the left- or right-most card in your hand, deal 1 damage to all enemies.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5678c9e5d087f7e140f6f450d46c25f6a152662d2df848dce98559e82cee4d9e.png,,Altruis betrayed Illidan to forge his own way in Outland. With Blackjack. And Netherdrakes.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b91e59e624ef40371cdec995146c293e8708e3bc1ce9b66a20f5d20ccdd3c3f3.png,"{'relevant': True, 'constructed': True}",,2.0,4.0,,,,
58524,1,58524-illidari-felblade,14,[],4,1463,3,Angelica Alieva,4,Illidari Felblade,<b>Rush</b> <b>Outcast:</b> Gain <b>Immune</b> this&nbsp;turn.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/282a5a6b5a894a8e218ef1ebbb12a8dd524da3283d50f2d31df4aaafac5e785f.png,,A whirling dervish of demonic devastation.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0585df4cc1e2c41c29fdff66c249ec1ef1ef550451c65060a71e659d6f801c64.png,"{'relevant': True, 'constructed': True}",,3.0,5.0,"[17, 53, 86]",,,
